"Player","nfl_Season","nfl_Tm","nfl_Age","nfl_Pos","nfl_G","nfl_Rushing GS","nfl_Rushing Att","nfl_Rushing Yds","nfl_Rushing TD","nfl_Rushing Lng","nfl_Rushing Y/A","nfl_Rushing Y/G","nfl_Rushing Fmb","nfl_GS","nfl_Tgt","nfl_Rec","nfl_Ctch%","nfl_Yds","nfl_Y/R","nfl_TD","nfl_Lng","nfl_Y/Tgt","nfl_R/G","nfl_Y/G","nfl_Fmb","cfb_Season","cfb_School","cfb_Conf","cfb_Att","cfb_ReceivingAvg","cfb_Senior_G","cfb_Junior_G","cfb_Sophomore_G","cfb_Freshman_G","cfb_RS_Freshman_G","cfb_Senior_Att","cfb_Junior_Att","cfb_Sophomore_Att","cfb_Freshman_Att","cfb_RS_Freshman_Att","cfb_Senior_RushingYds","cfb_Junior_RushingYds","cfb_Sophomore_RushingYds","cfb_Freshman_RushingYds","cfb_RS_Freshman_RushingYds","cfb_Senior_RushingAvg","cfb_Junior_RushingAvg","cfb_Sophomore_RushingAvg","cfb_Freshman_RushingAvg","cfb_RS_Freshman_RushingAvg","cfb_Senior_RushingTD","cfb_Junior_RushingTD","cfb_Sophomore_RushingTD","cfb_Freshman_RushingTD","cfb_RS_Freshman_RushingTD","cfb_Senior_Rec","cfb_Junior_Rec","cfb_Sophomore_Rec","cfb_Freshman_Rec","cfb_RS_Freshman_Rec","cfb_Senior_ReceivingYds","cfb_Junior_ReceivingYds","cfb_Sophomore_ReceivingYds","cfb_Freshman_ReceivingYds","cfb_RS_Freshman_ReceivingYds","cfb_Senior_ReceivingTD","cfb_Junior_ReceivingTD","cfb_Sophomore_ReceivingTD","cfb_Freshman_ReceivingTD","cfb_RS_Freshman_ReceivingTD","cfb_Senior_ScrimmagePlays","cfb_Junior_ScrimmagePlays","cfb_Sophomore_ScrimmagePlays","cfb_Freshman_ScrimmagePlays","cfb_RS_Freshman_ScrimmagePlays","cfb_Senior_ScrimmageYds","cfb_Junior_ScrimmageYds","cfb_Sophomore_ScrimmageYds","cfb_Freshman_ScrimmageYds","cfb_RS_Freshman_ScrimmageYds","cfb_Senior_ScrimmageAvg","cfb_Junior_ScrimmageAvg","cfb_Sophomore_ScrimmageAvg","cfb_Freshman_ScrimmageAvg","cfb_RS_Freshman_ScrimmageAvg","cfb_Senior_ScrimmageTD","cfb_Junior_ScrimmageTD","cfb_Sophomore_ScrimmageTD","cfb_Freshman_ScrimmageTD","cfb_RS_Freshman_ScrimmageTD","combine_Year","combine_Pos","combine_Age","combine_AV","combine_School","combine_College","combine_Height","combine_Wt","combine_40YD","combine_Vertical","combine_BenchReps","combine_Broad Jump","combine_3Cone","combine_Shuttle","combine_Drafted (tm/rnd/yr)"
"Ryan Switzer",2017,"DAL","23",NA,"16","0","4","5","0","3","1.3","0.3","1","0","7","6","85.7%","41","6.8","0","12","5.9","0.4","2.6","1",2016,"North Carolina","ACC","3","11.6","13","14","13","13",NA,"3","4","8","10",NA,"14","10","29","29",NA,"4.7","2.5","3.6","2.9",NA,"0","0","0","0",NA,"96","54","61","32",NA,"1112","693","757","341",NA,"6","6","4","3",NA,"99","58","69","42",NA,"1126","703","786","370",NA,"11.4","12.1","11.4","8.8",NA,"6","6","4","3",NA,2017,"WR",22,3,"North Carolina","College Stats","8-May",181,4.51,32,11,116,6.77,4,"Dallas Cowboys / 4th / 133rd pick /<U+00A0>2017"
"Ryan Tannehill",2014,"MIA","26","QB","16","16","56","311","1","40","5.6","19.4","10","16","1","1","100.00%","-4","-4","0","0","-4","0.1","-0.3","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam Bradford",2015,"PHI","28","QB","14","14","26","39","0","14","1.5","2.8","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam Darnold",2018,"NYJ","21","QB","13","13","44","138","1","28","3.1","10.6","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"QB",20,7,"USC","College Stats","3-Jun",221,4.85,26.5,NA,105,6.96,4.4,"New York Jets / 1st / 3rd pick /<U+00A0>2018"
"Sam Koch",2015,"BAL","33","P","16","0","1","7","0","7","7","0.4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam Shields",2018,"LAR","31","cb/rcb","16",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","100.00%","12","12","0","12","12","0.1","0.8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samaje Perine",2017,"WAS","22","RB","16","8","175","603","1","30","3.4","37.7","2","8","24","22","91.7%","182","8.3","1","25","7.6","1.4","11.4","2",2016,"Oklahoma","Big 12","196","10.6","10","13","13",NA,NA,"196","226","263",NA,NA,"1060","1349","1713",NA,NA,"5.4","6","6.5",NA,NA,"12","16","21",NA,NA,"10","15","15",NA,NA,"106","107","108",NA,NA,"1","1","0",NA,NA,"206","241","278",NA,NA,"1166","1456","1821",NA,NA,"5.7","6","6.6",NA,NA,"13","17","21",NA,NA,2017,"RB",21,5,"Oklahoma","College Stats","11-May",233,4.65,33,30,116,7.26,4.37,"Washington Redskins / 4th / 114th pick /<U+00A0>2017"
"Sammie Coates",2015,"PIT","22",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,"0","2","1","50.0%","11","11","0","11","5.5","0.1","1.6","0",2014,"Auburn","SEC","0","21.8","12","13",NA,NA,NA,"0","0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"34","42",NA,NA,NA,"741","902",NA,NA,NA,"4","7",NA,NA,NA,"34","42",NA,NA,NA,"741","902",NA,NA,NA,"21.8","21.5",NA,NA,NA,"4","7",NA,NA,NA,2015,"WR",21,4,"Auburn","College Stats","1-Jun",212,4.43,41,23,131,6.98,4.06,"Pittsburgh Steelers / 3rd / 87th pick / 2015"
"Sammy Watkins",2014,"BUF","21","WR","16","16","2","8","0","5","4","0.5","1","16","128","65","50.80%","982","15.1","6","84","7.7","4.1","61.4","1",2013,"Clemson","ACC","6","14.5","13","10",NA,NA,NA,"6","14",NA,NA,NA,"11","97",NA,NA,NA,"1.8","6.9",NA,NA,NA,"0","1",NA,NA,NA,"101","57",NA,NA,NA,"1464","708",NA,NA,NA,"12","3",NA,NA,NA,"107","71",NA,NA,NA,"1475","805",NA,NA,NA,"13.8","11.3",NA,NA,NA,"12","4",NA,NA,NA,2014,"WR",20,33,"Clemson","College Stats","1-Jun",211,4.43,34,16,126,6.95,4.34,"Buffalo Bills / 1st / 4th pick /<U+00A0>2014"
"Santana Moss",2014,"WAS","35",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,"0","15","10","66.70%","116","11.6","0","19","7.7","1","11.6","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santonio Holmes",2014,"CHI","30","wr","9",NA,NA,NA,NA,NA,NA,NA,NA,"2","14","8","57.10%","67","8.4","0","15","4.8","0.9","7.4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saquon Barkley",2018,"NYG","21","RB","16","16","261","1307","11","78","5","81.7","0","16","121","91","75.20%","721","7.9","4","57","6","5.7","45.1","0",2017,"Penn State","Big Ten","217","11.7","13","14","11",NA,NA,"217","272","182",NA,NA,"1271","1496","1076",NA,NA,"5.9","5.5","5.9",NA,NA,"18","18","7",NA,NA,"54","28","20",NA,NA,"632","402","161",NA,NA,"3","4","1",NA,NA,"271","300","202",NA,NA,"1903","1898","1237",NA,NA,"7","6.3","6.1",NA,NA,"21","22","8",NA,NA,2018,"RB",21,14,"Penn St.","College Stats","Jun-00",233,4.4,41,29,NA,NA,4.24,"New York Giants / 1st / 2nd pick /<U+00A0>2018"
"Scott Chandler",2014,"BUF","29","te","16",NA,NA,NA,NA,NA,NA,NA,NA,"5","70","47","67.10%","497","10.6","3","37","7.1","2.9","31.1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scott Simonson",2015,"CAR","23",NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,"0","1","1","100.0%","10","10","0","10","10","0.1","1.1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scott Tolzien",2015,"GNB","28",NA,"3","0","3","-3","0","0","-1","-1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sean Culkin",2018,"LAC","25","TE","13",NA,NA,NA,NA,NA,NA,NA,NA,"10","1","1","100.00%","24","24","0","24","24","0.1","1.8","0",2016,"Missouri","SEC","0","11.8","9",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"24",NA,NA,NA,NA,"282",NA,NA,NA,NA,"0",NA,NA,NA,NA,"24",NA,NA,NA,NA,"282",NA,NA,NA,NA,"11.8",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sean Mannion",2016,"LAR","24",NA,"1","0","1","-1","0","-1","-1","-1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,"QB",22,1,"Oregon St.","College Stats","6-Jun",229,5.14,31,NA,105,7.29,4.39,"St. Louis Rams / 3rd / 89th pick / 2015"
"Sean McGrath",2016,"SDG","29","te","16",NA,NA,NA,NA,NA,NA,NA,NA,"5","2","2","100.0%","25","12.5","0","13","12.5","0.1","1.6","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sean Renfree",2015,"ATL","25",NA,"2","0","1","-4","0","-4","-4","-2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senorise Perry",2014,"CHI","23",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,"0","1","1","100.00%","-1","-1","0","-1","-1","0.1","-0.1","0",2013,"Louisville","American","141","9.9","13","11",NA,NA,NA,"141","136",NA,NA,NA,"677","705",NA,NA,NA,"4.8","5.2",NA,NA,NA,"6","11",NA,NA,NA,"18","18",NA,NA,NA,"178","181",NA,NA,NA,"1","0",NA,NA,NA,"159","154",NA,NA,NA,"855","886",NA,NA,NA,"5.4","5.8",NA,NA,NA,"7","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seth Devalve",2016,"CLE","23","te","12",NA,NA,NA,NA,NA,NA,NA,NA,"2","12","10","83.3%","127","12.7","2","25","10.6","0.8","10.6","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seth Roberts",2015,"OAK","24","fb/wr","16",NA,NA,NA,NA,NA,NA,NA,NA,"5","55","32","58.2%","480","15","5","43","8.7","2","30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seyi Ajirotutu",2014,"SDG","27","wr","16",NA,NA,NA,NA,NA,NA,NA,NA,"1","12","4","33.30%","45","11.3","0","17","3.8","0.3","2.8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shane Vereen",2014,"NWE","25","rb","16","6","96","391","2","19","4.1","24.4","0","6","77","52","67.50%","447","8.6","3","49","5.8","3.3","27.9","0",2010,"California","Pac-10","231","9.5","12","13",NA,NA,NA,"231","183",NA,NA,NA,"1167","952",NA,NA,NA,"5.1","5.2",NA,NA,NA,"13","12",NA,NA,NA,"22","25",NA,NA,NA,"209","244",NA,NA,NA,"3","2",NA,NA,NA,"253","208",NA,NA,NA,"1376","1196",NA,NA,NA,"5.4","5.8",NA,NA,NA,"16","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shane Wynn",2016,"JAX","24",NA,"5","0","2","5","0","7","2.5","1","0","0","3","1","33.3%","19","19","0","19","6.3","0.2","3.8","0",2014,"Indiana","Big Ten","4","12.6","12","12","12",NA,NA,"4","4","2",NA,NA,"138","12","23",NA,NA,"34.5","3","11.5",NA,NA,"2","1","0",NA,NA,"56","46","68",NA,NA,"708","633","660",NA,NA,"3","11","6",NA,NA,"60","50","70",NA,NA,"846","645","683",NA,NA,"14.1","12.9","9.8",NA,NA,"5","12","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shaun Draughn",2014,"3TM","27",NA,"10","0","10","19","0","6","1.9","1.9","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"North Carolina","ACC","129","4.8","12","10",NA,NA,NA,"129","124",NA,NA,NA,"637","567",NA,NA,NA,"4.9","4.6",NA,NA,NA,"6","1",NA,NA,NA,"13","21",NA,NA,NA,"62","125",NA,NA,NA,"0","0",NA,NA,NA,"142","145",NA,NA,NA,"699","692",NA,NA,NA,"4.9","4.8",NA,NA,NA,"6","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shaun Hill",2014,"STL","34","QB","9","8","10","10","1","9","1","1.1","7","8","1","1","100.00%","0","0","0","0","0","0.1","0","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shaun Wilson",2018,"TAM","23",NA,"5","0","6","29","0","9","4.8","5.8","0","0","5","3","60.00%","5","1.7","0","5","1","0.6","1","0",2017,"Duke","ACC","162","7.3","13","12","11",NA,NA,"162","151","84",NA,NA,"818","623","424",NA,NA,"5","4.1","5",NA,NA,"6","4","3",NA,NA,"36","8","19",NA,NA,"263","76","207",NA,NA,"4","0","1",NA,NA,"198","159","103",NA,NA,"1081","699","631",NA,NA,"5.5","4.4","6.1",NA,NA,"10","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shelton Gibson",2017,"PHI","22",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,"0","3","2","66.7%","11","5.5","0","6","3.7","0.4","2.2","0",2016,"West Virginia","Big 12","2","22.1","13","12",NA,NA,NA,"2","0",NA,NA,NA,"29","0",NA,NA,NA,"14.5",NA,NA,NA,NA,"0","0",NA,NA,NA,"43","37",NA,NA,NA,"951","887",NA,NA,NA,"8","9",NA,NA,NA,"45","37",NA,NA,NA,"980","887",NA,NA,NA,"21.8","24",NA,NA,NA,"8","9",NA,NA,NA,2017,"WR",21,0,"West Virginia","College Stats","11-May",191,4.5,32,8,118,6.83,4.2,"Philadelphia Eagles / 5th / 166th pick /<U+00A0>2017"
"Shonn Greene",2014,"TEN","29","rb","13","5","94","392","2","52","4.2","30.2","1","5","3","1","33.30%","13","13","0","13","4.3","0.1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silas Redd",2014,"WAS","22",NA,"15","0","16","75","1","14","4.7","5","1","0","10","8","80.00%","107","13.4","0","37","10.7","0.5","7.1","1",2012,"USC","Pac-12","167","12.6","12","13",NA,NA,NA,"167","244",NA,NA,NA,"905","1241",NA,NA,NA,"5.4","5.1",NA,NA,NA,"9","7",NA,NA,NA,"9","9",NA,NA,NA,"113","40",NA,NA,NA,"1","0",NA,NA,NA,"176","253",NA,NA,NA,"1018","1281",NA,NA,NA,"5.8","5.1",NA,NA,NA,"10","7",NA,NA,NA,2014,"RB",22,1,"USC","College Stats","10-May",212,4.7,37,18,122,NA,NA,NA
"Solomon Patton",2014,"2TM","24",NA,"13","0","1","19","0","19","19","1.5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Florida","SEC","16","12.6","12",NA,NA,NA,NA,"16",NA,NA,NA,NA,"71",NA,NA,NA,NA,"4.4",NA,NA,NA,NA,"0",NA,NA,NA,NA,"44",NA,NA,NA,NA,"556",NA,NA,NA,NA,"6",NA,NA,NA,NA,"60",NA,NA,NA,NA,"627",NA,NA,NA,NA,"10.5",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sony Michel",2018,"NWE","23","RB","13","8","209","931","6","34","4.5","71.6","1","8","11","7","63.60%","50","7.1","0","13","4.5","0.5","3.8","1",2017,"Georgia","SEC","156","10.7","14","12","13",NA,NA,"156","152","218",NA,NA,"1227","840","1136",NA,NA,"7.9","5.5","5.2",NA,NA,"16","4","8",NA,NA,"9","22","26",NA,NA,"96","149","270",NA,NA,"1","1","3",NA,NA,"165","174","244",NA,NA,"1323","989","1406",NA,NA,"8","5.7","5.8",NA,NA,"17","5","11",NA,NA,2018,"RB",23,7,"Georgia","College Stats","11-May",214,4.54,NA,22,NA,NA,4.21,"New England Patriots / 1st / 31st pick /<U+00A0>2018"
"Spencer Pulley",2018,"NYG","25","C","13",NA,NA,NA,NA,NA,NA,NA,NA,"9","1","1","100.00%","-2","-2","0","-2","-2","0.1","-0.2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spencer Ware",2015,"KAN","24","rb","11","2","72","403","6","52","5.6","36.6","0","2","6","6","100.0%","5","0.8","0","5","0.8","0.5","0.5","0",2012,"LSU","SEC","94","12.8","12","13",NA,NA,NA,"94","177",NA,NA,NA,"367","707",NA,NA,NA,"3.9","4.0",NA,NA,NA,"1","8",NA,NA,NA,"18","11",NA,NA,NA,"230","73",NA,NA,NA,"1","1",NA,NA,NA,"112","188",NA,NA,NA,"597","780",NA,NA,NA,"5.3","4.1",NA,NA,NA,"2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stedman Bailey",2014,"STL","24","wr","14","3","1","13","0","13","13","0.9","0","3","46","30","65.20%","435","14.5","1","38","9.5","2.1","31.1","0",2012,"West Virginia","Big 12","2","14.2","13",NA,NA,NA,NA,"2",NA,NA,NA,NA,"13",NA,NA,NA,NA,"6.5",NA,NA,NA,NA,"0",NA,NA,NA,NA,"114",NA,NA,NA,NA,"1622",NA,NA,NA,NA,"25",NA,NA,NA,NA,"116",NA,NA,NA,NA,"1635",NA,NA,NA,NA,"14.1",NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stefon Diggs",2015,"MIN","22","WR","13","9","3","13","0","10","4.3","1","2","9","84","52","61.9%","720","13.8","4","40","8.6","4","55.4","2",2014,"Maryland","Big Ten","5","12.8","10","7","11",NA,NA,"5","7","20",NA,NA,"28","45","114",NA,NA,"5.6","6.4","5.7",NA,NA,"0","0","0",NA,NA,"62","34","54",NA,NA,"792","587","848",NA,NA,"5","3","6",NA,NA,"67","41","74",NA,NA,"820","632","962",NA,NA,"12.2","15.4","13",NA,NA,"5","3","6",NA,NA,2015,"WR",21,32,"Maryland","College Stats","Jun-00",195,4.46,35,NA,115,7.03,4.32,"Minnesota Vikings / 5th / 146th pick / 2015"
"Stepfan Taylor",2014,"ARI","23","rb","14","4","63","208","1","21","3.3","14.9","0","4","15","11","73.30%","79","7.2","3","18","5.3","0.8","5.6","0",2012,"Stanford","Pac-12","322","7","14","13","13",NA,NA,"322","242","223",NA,NA,"1530","1330","1137",NA,NA,"4.8","5.5","5.1",NA,NA,"13","10","15",NA,NA,"41","25","28",NA,NA,"287","182","266",NA,NA,"2","2","1",NA,NA,"363","267","251",NA,NA,"1817","1512","1403",NA,NA,"5","5.7","5.6",NA,NA,"15","12","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
